project_id,project_category,main_applicant_institution,main_applicant_function,main_applicant_first_name,main_applicant_surname,main_applicant_laboratory_name,main_applicant_postcode,main_applicant_city,project_title,project_acronym,project_abstract,start_date,project_duration_months,total_budget_requested
CONTRIBUTE/ORSMD,Contribute,ETH Zürich,Senior Researcher / Lecturer,Milos,Balac,CSFM,8092,Zürich,An ORD framework for synthetic mobility data,ORSMD,"The eqasim pipeline, developed at ETH, is an ORD tool for generating synthetic travel demand datasets. However, its current implementation in Switzerland has several limitations. The Swiss implementation relies on non-open data from the Swiss Federal Office of Statistics, which complicates data sharing and slows research due to the need for lengthy data privacy agreements. This limits the speed of innovation and collaboration among researchers. Additionally, each new application of eqasim requires duplicating and modifying the codebase to incorporate new datasets, resulting in fragmented approaches. This project aims to overcome these limitations by enhancing the standardization of the eqasim framework, improving the ease of data exchange, and enabling better control over algorithms and data extraction. By addressing these issues, the project will streamline data sharing and accelerate research, ultimately increasing the impact of eqasim in Switzerland and beyond.",2024-12-01,9,30000
CONTRIBUTE/PHENOMAST,Contribute,WSL,NA,Daniel,Scherrer,NA,NA,NA,PhenoMast - Integration of standardized tree seed mast observations into existing phenology monitoring networks,PhenoMast,NA,NA,NA,30000
CONTRIBUTE/PYCSOU-FAIR,Contribute,EPFL,"Principal Scientist and Lecturer, Head of the EPFL Hub for Advanced Image Reconstruction",Matthieu,Simeoni,EPFL VPA VPA-AVP-CP IMAGING,1015,Lausanne,Pycsou FAIR: A Community Marketplace for Discovering and Sharing Image Reconstruction Plugins,Pycsou-FAIR,"Pycsou is an open-source computational imaging software framework for Python with native support for hardware acceleration and distributed computing. The latter adopts a modular and interoperable microservice architecture providing highly optimised and scalable general-purpose computational imaging functionalities and tools, easy to reuse and share across imaging modalities. One key specificity of the framework is its domain-agnosticity, which helps it remain lightweight (with only a few core dependencies), accessible to most imaging scientists, and portable/scalable across computing platforms and imaging modalities. However, this domain-agnosticity also limits the adoption of the framework by certain imaging communities with very specific computational imaging needs. This project adresses this issue by introducing Pycsou FAIR, a web platform, meta-programming framework and interoperability protocol for Pycsou aiming at facilitating the discovery, installation, development and sharing of FAIR-compliant community-based image reconstruction plugins at scale. This platform will allow imaging scientists to develop, share and take full advantage of modern computational imaging methods in their routine processing pipelines.",2022-11-01,12,30000
CONTRIBUTE/PYSPM,Contribute,EPFL,Scientist,Marcos,Penedo Garcia,EPFL STI IBI-STI LBNI,1015,Lausanne,HDF5-USID scheme implementation in the Open-Source SPM project for Pycroscopy ecosystems,PySPM,"Storing acquired data is a crucial step in every research cycle. Nowadays, instruments tend to discard most of the acquired data by down-sampling or discarding most of the signal via averaging or decimation. Saved data is normally stored into proprietary file formats, which limits the data exchange among the scientific community. It also impedes adding or modifying necessary metadata to keep important information about experiment parameters or instrument status, and hinders the use of existing post processing routines written for different file formats, leading to duplicated codes and preventing the exchange of routines among researchers.

Open-source data schemes are becoming increasingly important for scientific data storage. They enable sharing of software, data, and knowledge at early phases in the scientific process, maintain the digital integrity of the data at lower cost, and facilitate long-term preservation and future data mining through metadata. Developing software as open source allows modules to be readily shared, reused and extended by others. By choosing appropriate storage file open standards, it is possible to maximize available analysis tools and resources, reduce the cost of data manipulation and maintenance, and achieve ideal long-term preservation of large amounts of files.

In this project, we aim to implement the HDF5 and USID open standards on an already well-established ORD worldwide project at EPFL: the Open-Source SPM controller. Its current file scheme presents several weaknesses that we intend to overcome with these modern standards. Furthermore, the implementation of this scheme will enable access to a lively open software ecosystem called Pycroscopy, allowing the Open-Source SPM project to take advantage of all the functionalities and tools already existing in that ecosystem based on the HDF5 and USID open standards.",2024-02-01,6,30000
CONTRIBUTE/SCPAW,Contribute,PSI,Tenure-Track Scientist,Clemens,Lange,Laboratory for Particle Physics,5232,Villigen PSI,Seamlessly containerised physics analysis workloads (SCPAW),SCPAW,"The reusability of particle physics analyses is severely affected by undocumented and manual steps taken by the analysis teams. Starting from typically centrally produced reusable data sets, such high-level physics analyses are largely performed using individually developed analysis scripts and frameworks. While the analysis code is commonly under version control in a git repository, this does not guarantee that it works nor that it yields the results obtained from manual execution. This project aims to provide a prototype solution to these issues for experiments performed at the PSI Laboratory for Particle Physics (CMS, Mu3e, n2EDM) by encoding the missing information directly in the code repository and integrating it with the execution environment to ensure the code’s functionality. This will be achieved by providing templates to automatically test the code and package it in self-contained and portable software container images on the code repository server. These container images will then be distributed on the compute clusters using technology that allows for massively parallel batch processing. Aiming for an excellent user experience to increase adoption, this setup that builds upon the existing infrastructure at PSI will be benchmarked and optimized for a potential future large-scale deployment. Dedicated documentation will be developed, a training course be held at PSI, and the results as well as lessons learned will be presented at an international computing workshop.",2024-01-01,12,30000
CONTRIBUTE/SOLARFUELSDB+,Contribute,EPFL,Postdoctoral researcher,Isaac,Holmes-Gentle,EPFL STI IGM LRESE,1015,Lausanne,A standardized database framework for synthetic carbon-based solar fuels,SolarFuelsDB+,"In this proposal, we seek to significantly extend the recently created Solar Fuels Database (SolarFuelsDB) where we developed a systematic machine-readable framework for solar to fuel devices and developed an online interface for data entry and visualization, with the ultimate aim of accelerating the development of such technologies. The original project successfully created a systematic machine-readable framework in which to categorise photo-electrochemical (PEC) systems, populated the database (72 papers, 154 reported devices) and developed an online interface for data entry and visualisation, focusing intentionally on photo-electrochemical water splitting (hydrogen production) to define a manageable research task. The initial ambition at project conception was always to expand to other solar fuels (e.g. CO₂ reduction towards CO, ethylene, ethanol, etc.) and methodologies (e.g. thermochemical H₂ production), so the existing database schema has been designed to be versatile and extensible. Specifically, we plan to extend the solar fuels considered to include carbon monoxide, syngas, formic acid, methane, ethanol, etc., and extend the technological pathways to include thermochemical redox cycles. Notably, there has been a recent focus on moving from solar hydrogen to solar-driven reduction of CO₂ to valuable chemicals and fuels. Consequently, the extended SolarFuelsDB database (SolarFuelsDB+) has the potential to unify multiple different solar fuel pathways into a single repository where reports can be found and performances of various technologies can be systematically and equitably compared. We will engage with international research communities to ensure a judicious selection of metadata is captured by the database. These reporting guidelines will facilitate standardization in data reporting, and inclusion in the database will provide an incentive for authors as inclusion of research could lead to improved findability and greater dissemination of results. In line with the open-science goals of this project, it is envisaged the database will become continually maintained through community submission of new papers. This greatly improved and openly accessible resource will consolidate previous work and provide the overview required to gain novel insight in to the field and thereby identify promising future research trends required to move solar fuels towards wide-scale implementation.",2022-07-01,6,30000
CONTRIBUTE/SOP,Contribute,EPFL,Scientific Assistant,Raphaël,Vouilloz,EPFL ENAC IA LAPIS,1015,Lausanne,Speckle-OpenCascade Prototype for Enhanced AEC Interoperability through Geometry-Centered Approach.,SOP,"A Speckle connector for Open Cascade Technology will enhance software and data interoperability within the architecture, engineering, and construction industry. The project aims to bolster the use of free software in the sector, by uniting the capabilities of two open-source ecosystems in a sector where proprietary tools are currently very dominant. On the one hand, Speckle open-source connectors enable seamless collaboration across diverse AEC software; it ensures accurate and efficient collaborative workflows between various actors and disciplines, thus contributing to the freedom of choice of digital tools, avoiding a captive market. The connector's open-source design encourages community contributions, fostering continual improvement. On the other hand, Open Cascade Technology is an open-source geometric kernel. It is used in free software alternatives such as Freecad or Salome, and in open-source libraries such as IfcOpenShell, which allows the development of applications based on IFC, the open standard for Building Information Modeling. Also, the open-source nature of Open Cascade Technology enables many researchers and professionals to develop their own highly specialized digital tools. Our prototype would connect this ecosystem to all AEC industry software, via Speckle.",2024-03-01,6,30000
CONTRIBUTE/SPAM-ORD,Contribute,EPFL,Principal Scientist,Edward,Andò,EPFL VPA VPA-AVP-CP IMAGING,1015,Lausanne,Reinforcing open data analysis with spam: FAIR packaging and workshop organisation,spam-ORD,"We aim to make our popular open-source software 'spam' more accessible to the experimental mechanics community to exemplify and encourage good ORD practise in the community and avoid vendor lock-in with closed formats.

We also hope to make a community of users with good practice for future joint developments within the ETH domain.

We will do this by outsourcing some of the more complex software engineering to a service in EPFL, and also by organising a three-day workshop to promote, explain and illustrate ORD practise with 'spam'",2023-02-01,8,30000
CONTRIBUTE/SRFI-DB,Contribute,ETH Zürich,Postdoctoral researcher,Matthias,Schartner,Chair of Space Geodesy,8093,Zürich,Mitigating spaceborne radio frequency interference through satellite database (SRFI-DB),SRFI-DB,"The tremendous growth of satellite mega-constellations such as Starlink and OneWeb, emitting signals at radio frequencies, threatens radio astronomy. The emitted satellite signal can cause radio frequency interference (RFI) or saturate the wideband receivers of the highly sensitive radio telescopes leading to an information loss or even failed observations. As a countermeasure, the International Very Long Baseline Interferometry Service for Geodesy and Astronomy (IVS) community, and the International Astronomical Union (IAU) have launched working groups on the measurement and mitigation of satellite RFI. One promising approach is to avoid observations close to potentially harmful satellites. Within this work, we plan to support this attempt by establishing an open database of satellite orbits and emitted satellite frequency spectra. We will curate existing orbit information and connect them with existing frequency information and measurements taken at the observatories. The database will be openly available and provides access via a web interface and an application programming interface (API). This ensures seamless integration into existing state-of-the-art software pipelines.",2023-01-01,6,29799
CONTRIBUTE/STILLBERGDAT,Contribute,WSL,PhD,Esther,Frei,"Mountain Ecosystems Research Group, WSL Institute for Snow and Avalanche Research SLF",7260,Davos Dorf,Seizing the treasure: making long-term environmental data available for eLTER and beyond,StillbergDAT,"The European Long-term Ecosystem Research (eLTER) facility Stillberg was established in 1975 in a treeline ecosystem near Davos, Switzerland. In almost 50 years of research, we have collected a wealth of environmental and ecological data at this unique alpine site. These include monitoring data of a large-scale treeline afforestation experiment, meteorological data, time series of plant responses to free-air carbon dioxide enrichment, soil warming and nutrient addition, as well as plant-snow, plant-soil interactions, and drivers of tree seedling recruitment. In this project we aim at contributing these important ecological datasets from Stillberg as open research data (ORD). By curating the existing datasets before the upload to national and international ORD platforms (EnviDat and DEIMS-SDR) we will improve their visibility, quality, and availability. The provisioning of this long-term environmental data will foster transdisciplinary and global research syntheses and meta-analyses, improving our understanding of long-term ecosystem processes in mountain regions and supporting the development of adequate adaptation strategies.",2022-06-01,6,29953
CONTRIBUTE/THRACE,Contribute,PSI,Dr.,George Dan,Miron,Laboratory for Waste Management (LES),5232,Villigen PSI,Traceable thermodynamic datasets for chemical modelling,THRACE,"At present, thermodynamic datasets do not follow ORD FAIR principles. ThermoHub database provides access to a collection of traceable thermodynamic datasets for various fields of application. These datasets are curated and documented by experts using an open standard JSON format. The aim of the project is to bring ThermoHub to its full potential and demonstrate its ORD capabilities by producing a unified database of several mainstream thermodynamic datasets that are ready to use for chemical modeling. The project also aims to develop and provide a documented semi-automatic workflow for future maintenance and extension with new data. This work can greatly standardize and unify the workflow of chemical thermodynamic modeling, and support iterative improvement of the quality, reliability, and traceability of databases and modeling results. Providing datasets following FAIR principles will be advantageous when used in modeling, as it will remove the burden from modelers of collecting all necessary standard thermodynamic values from vast literature or writing complex scripts for importing these from different formats. ThermoHub can greatly streamline collaboration within Swiss, European, and other international projects by providing traceable thermodynamic data for various modeling applications. It will also be advantageous for the recognized work at PSI/LES (as well as EPMA and ETHZ) on thermodynamic database and modeling code development.",2023-09-01,4,30000
CONTRIBUTE/TIMERESHDRMX,Contribute,PSI,NA,Filip,Leonarski,NA,NA,NA,Enabling compliance with ORD standards for cutting-edge time-resolved experiments at high data-rates,TimeResHDRMX,NA,NA,NA,22000
CONTRIBUTE/TRANSCODE,Contribute,EPFL,Assistant Professor,Sara,Bonetti,EPFL ENAC IIE CHANGE,1951,Sion,"Towards community-driven, open and FAIR ecohydrological modeling",TRANSCODE,"Mechanistic ecohydrological models are essential tools to accurately simulate the impacts of climate change on the water, carbon, and nutrient cycles. However, there are very few models available to the community which can holistically simulate such a wide range of processes and most of them are written in low-level programming languages (e.g., C++ or FORTRAN), hindering model accessibility to new users. In this regard, Tethys and Chloris (T&C), a state-of-the-art ecohydrological model written in MATLAB, offers a strong foundation for creating an accessible community-driven model. TRANSCODE aims to transform T&C into a FAIR (Findable, Accessible, Interoperable, Reusable) model by redesigning its architecture for modularity and re-implementing it in Julia, an open-source language which marries the computational efficiency of low-level programming languages such as FORTRAN and the accessibility of high-level languages such as MATLAB. This translation will improve computational efficiency, foster open code contributions from the community, and facilitate interoperability with other models. Specifically, the project will create a modular, comprehensively tested, highly efficient, and easily accessible version of T&C, termed T&C-Julia. TRANSCODE has the potential to significantly benefit the Earth science community and advance the field of ecohydrological modelling by providing a versatile, state-of-the-art, and open-source modelling platform.",2024-10-01,12,30000
CONTRIBUTE/TREASURE,Contribute,EPFL,Professor,Dimitrios,Lignos,EPFL ENAC IIC RESSLAB,1015,Lausanne,DaTabases and fRont-end wEb-bAsed Software for performance-based natUral hazaRds Engineering,TREASURE,"The growing realisation that data are valuable to extract information for both research and design purposes in natural hazards infrastructure engineering is timely. This project aims first to signify the further development and curation of open access databases in a consistent format. Predictive models and probabilistic distribution functions that express damage of structural metallic materials and members will be formulated in an interactive web-based software that will also provide enhanced data visualization features. The data curation process, which will be in line with the FAIR principles, will strive to harmonize data formats in a way to maximize data re-use within the research and engineering communities. Planned dissemination and maintenance strategies along with the development of comprehensive guidelines on how to standardize data storage and visualization will embrace the project’s sustainability in the long term.",2023-06-01,12,30000
CONTRIBUTE/TREENETGAPS,Contribute,WSL,Dr.,Mirko,Lukovic,Ecosystem Ecology - Forest Dynamics,8903,Birmensdorf,AI module for gap-filling TreeNet time series,TreeNetGaps,"In a recent WSL research project (deepT - internal grant no. 202011N2099) we developed a machine learning model for gap-filling multi-channel time series data. We would now like to add a module or toolbox that is based on this model to the existing automated near real-time TreeNet data acquisition infrastructure. The new tool would provide an additional option to the users of TreeNet dendrometer data to automatically fill the gaps in the time series using artificial intelligence. The existing model first must be improved using newly available data. It then has to be programmed in R, the native language used in the TreeNet software. Thereafter, the code must be inserted into the existing pipeline and offered as an option to the end-users of the data. This will also involve adapting the data to the input and output requirements of the model.",2024-01-01,12,30000
CONTRIBUTE/TSDF,Contribute,EPFL,Computer Scientist,Martí,Bosch,EPFL ENAC IIE CEAT,1015,Lausanne,TSDF (Time Series DataFrame) - A data storage architecture for scalable processing of heterogeneous and geospatial time series,TSDF,"Geospatial time series data play a central role in environmental sciences, with example applications ranging from fixed sensors such as meteorological stations to mobile sensors. However, despite their ubiquity, methods to process and store geospatial time series datasets are often disperse and lack standard practices. A key reason for such a shortcoming is the inherent heterogeneity and irregularity of time series data.In this proposal, we aim to address these challenges by developing TSDF, a new data specification that provides a flexible framework to access, process, store and share geospatial time series datasets. A binary format based on Apache Parquet will be designed to provide flexible and effective hierarchical structuring of time series measurements, enabling scalable and distributed processing of irregular and heterogeneous datasets. Additionally, a Python package will be developed to provide an easy interface to load the datasets into pandas data frames, with methods to facilitate operations such as filtering, reducing and combining the data. The proposed work can greatly facilitate the processing of geospatial time series data in a vast body of applications, reducing data wrangling time for researchers while enhancing interoperability, reusability and collaboration.",2023-06-01,7,30000
CONTRIBUTE/UQBENCH,Contribute,ETH Zürich,Professor,Bruno,Sudret,"Chair of Risk, Safety and Uncertainty Quantification",8093,Zurich,Open Platform for Benchmarking Uncertainty Quantification Algorithms,UQBench,"Uncertainty quantification (UQ) allows practitioners to assess the impact of uncertainties in natural and engineering systems for robust and well-informed decision making. It covers a wide range of scientific disciplines such as geophysics, civil and mechanical engineering or finance. As such, the efficiency of UQ methodologies is crucial. While many new methods are continuously developed, assessing their actual efficiency is not straightforward because of the lack of thorough benchmarking within the community. Besides the technical aspects of implementation, carrying out a benchmark properly requires defining meaningful performance measures and using consistent test data. The goal of this project is to build a benchmark module in UQLab, a reference software for uncertainty quantification developed in our Chair. This module will allow researchers to seamlessly perform benchmarks in an automated way, i.e., without the burden of actually gathering data, repeatedly running a code and post-processing the results. Both the benchmark data and results will be made available on UQWorld, a web-forum gathering thousands of UQ practitioners. This will ultimately result in a growing database that will serve as reference for future publications. In fine, we believe that making such a platform available will help further engaging with the UQ community and encourage ORD practices.",2023-09-01,4,30000
CONTRIBUTE/WASHCOLLAB,Contribute,ETH Zürich,Prof. Dr.,Elizabeth,Tilley,Global Health Engineering,8092,Zurich,Enhancing Global WASH Data Accessibility through Collaborative Initiatives,washcollab,"The ""Enhancing Global WASH Data Accessibility through Collaborative Initiatives"" proposal, a joint effort by WASHWeb and openwashdata, aims to improve the global Water, Sanitation, and Hygiene (WASH) data ecosystem. The partnership, formed under shared goals for better data accessibility, usability, and representation, proposes a project divided into three work packages: Maintain, Extend, and Disseminate. The first package updates the Joint Monitoring Programme (JMP) dataset for broader use. The second aims to collaborate with data providers to create a new R dataset package, enhancing analyses of WASH investments and outcomes. The final package seeks to promote these open data packages through webinars, conference sessions, and online discussion groups, fostering a community around open WASH data.",2024-08-01,12,30000
CONTRIBUTE/WEAR-MED,Contribute,ETH Zürich,Head of SCAI Lab (Senior Scientist),Diego,Paez-Granados,SCAI Lab,8092,Zurich,Open Access and Interoperability in Medical Wearables: Community-driven standardization of low-level communication protocols for raw wearable sensor data,WEAR-MED,"Wearable sensors offer vast potential for advancing healthcare through data-driven insights, but their integration into clinical trials and practice is hindered by a lack of interoperability. This project proposes the development of a standardized low-level communication protocol for wearable sensors to facilitate harmonized data collection across different platforms. By establishing a common standard for raw data transmission, the project aims to enable seamless aggregation of sensor data and foster collaboration among healthcare, research, and industry stakeholders. Through community-driven requirements gathering and standards development, the project seeks to address the current challenges in integrating wearable sensor data into healthcare practices. Inspired by successful standards in other domains, this initiative aims to catalyze a more interconnected digital health ecosystem where wearables play a pivotal role in personalized healthcare practices.",2024-09-01,6,32000
CONTRIBUTE/XYT,Contribute,EPFL,NA,Marc-Edouard,Schultheiss,NA,NA,NA,"‘XYT’, a python package to analyze activity-travel behaviors, organization and scheduling",XYT,NA,NA,NA,30000
ESTABLISH/OPEM,Establish,EPFL,Professor,Henning,Stahlberg,EPFL VPA VPA-AVP-CP DCI,1015,Lausanne,Open EM Data Network,OPEM,"This Open EM Data Network will establish ORD practice for Electron Microscopy (EM) in Switzerland. In the life sciences, cryo-EM experienced a resolution revolution enabling to the atomic-resolution determination of protein structures. In materials sciences, EM equally experienced a dramatic expansion of possibilities and multidisciplinary approaches, e.g., 4D STEM data collection. This led to unparalleled increase in data volumes and need for computational resources.

This Open EM Data Network (OPEM) will build on the PSI’s existing data annotation (SciCat) and data handling and storage technology (Data Catalog), which will be expanded to cover EM data and to establish Swiss-wide access. It will standardize the collection of data and metadata, streamline data and metadata handling, assist in data transfer and sharing, and automate and support deposition into existing international ORD repositories. It will provide user training in ORD practices and establish a sustainable structure to be maintained after closure of this project.

The Open EM Data Network is complementing a Swiss-wide effort to push the boundaries in EM technology with the “EM frontiers” initiative. It will establish ORD practice throughout the ETH-Domain EM sites and will be expanded to all Swiss University EM sites through a parallel application to SwissUniversities.",2023-01-01,30,1500000
ESTABLISH/PREMISE,Establish,Empa,Group leader (Senior Scientist),Carlo Antonio,Pignedoli,Laboratory for Materials Simulations,5232,Villigen PSI,PREMISE: Open and Reproducible Materials Science Research,PREMISE,"PREMISE aims to establish, promote and facilitate the adoption of FAIR ORD practices in Materials Science, focusing on enabling the treatment, at the same level, of experimental and simulation data. We will first develop metadata standards for machine-actionable interoperability between electronic lab notebooks (ELNs)/lab information management systems (LIMSs) and workflow management systems (WFMSs), and apply these standards to Materials Science ontologies. We will then collect, design and disseminate best practices for generating ORD as a natural part of the research process, rather than as an additional duty for researchers. Our deliverables will be demonstrated with concrete pilot use cases, chosen to be applicable to the broad field of Materials Science, and generalisable to other disciplines. We will leverage two robust open platforms, developed and maintained within the ETH domain, compliant by design with FAIR requirements for experiments (openBIS) and simulations (AiiDA+AiiDAlab). We will bring them ""to the next level"" by implementing our novel set of ORD practices and demonstrating how an ELN/LIMS and a WFMS can be made seamlessly interoperable. We expect our deliverables to be essential components of the emerging field of autonomous laboratories, where automated simulations and robotic experiments are combined via artificial intelligence in closed feedback loops, ultimately accelerating materials discovery and characterisation.",2023-01-01,36,1292100
EXPLORE/ADDLIDAR,Explore,EPFL,Senior Scientist,Jan,Skaloud,EPFL ENAC IIE CRYOS,1015,Lausanne,AddLidar – Airborne Laser Scanner Data Repository and Processing Portal for the ARES Observatory,AddLidar,"This project aims to establish an open database and processing pipeline for ALS (Airborne Laser Scanner) data, complementing the imaging spectrometry platform, to promote transparency, accessibility, reproducibility and innovation in sensor co-registration and data analysis, ultimately benefiting scientific communities worldwide.",2024-09-01,18,150000
EXPLORE/ASTROORDAS,Explore,EPFL,Professor,Jean-Paul,Kneib,EPFL SB IPHYS LASTRO,1290,Versoix,Development of Open Research Data Analysis Services supplementing astronomical Open Research Data (AstroORDAS),AstroORDAS,"Over the last decade, astronomers have been developing a new field of Multi-messenger astronomy that combines radio-to-gamma-ray electromagnetic signals with neutrino and gravitational wave signals to get new insights into physics of astronomical sources. Diversity of data sets (mostly available as ORD) involved in multi-messenger data analysis poses a challenge of reproducibility of multi-messenger analysis results and their traceability to raw observational data. Without thoughtful stewardship of the data reduction and elaboration methods, the key principle behind the ORD concept, the “Findable-Accessible-Interoperable-Reusable” (FAIR) principle, is not fully implemented: the results derived from ORD are not reproducible, the raw observational data are not reusable. The project proposes a solution to this problem through a setup of cloud-based ORD data analysis services (ORDAS) that supplement the ORD and explicitly assure reproducibility of results and reusability of the ORD. We propose to develop such services for two major next-generation facilities, gamma-ray observatory Cherenkov Telescope Array (CTA) and radio observatory Square Kilometre Array (SKA). We will demonstrate the power of ORDAS for CTA and SKA by engaging the community of multi-messenger astronomers in ORD practices through a Multi-Messenger Online Data Analysis (MMODA) platform for the study of transient multi-messenger astronomical sources for which on-the-fly analysis of multi-messenger ORD is vital.",2022-10-01,12,149277
EXPLORE/COORDINEO,Explore,ETH Zürich,Senior Scientist (Oberassistent),Daniel,Bowden,Seismology and Wave Physics,8092,Zürich,COmmunity Needs of Open Research Data Practices iN FibEr-Optic Sensing - Leading by Example. [COORDINEO],COORDINEO,"In recent years, seismological monitoring and observation has been revolutionized by the use of fiber optic sensing technologies. Distributed Acoustic Sensing (DAS) uses pulses of light and backscattered signatures to measure strains along fiber optic cables at an unprecedented spatial resolution. Within the Seismology and Wave Physics group at ETH, we have been pioneering DAS experiments around the world, including records of urban seismic activity, on glaciers, monitoring of avalanches, volcanic activity, and more. Given that DAS systems can produce hundreds of GBs of information in a single day, these projects have resulted in a correspondingly unprecedented increase in the amount of data that needs to be stored, processed, and shared. As more and more research institutions around the world explore this new technology, clear standards need to be established to further encourage interdisciplinary collaboration. Such standards include data and meta-data information according to FAIR Open Research Data (ORD) and Open Science (OS) principles. Whereas the scientific community around DAS is starting to tackle parts of the entire ORD and OS lifespan of geophysical experiments and data, examples and references of full solutions are not yet available. With our proposed ETH ORD project, we plan to establish ORD and OS practices throughout the full scientific lifespan of (geo-)physical projects - in close collaboration with the community, and leading by example.",2022-09-01,12,150000
EXPLORE/DCSM,Explore,EPFL,Senior scientific collaborator,Guillaume,Anciaux,EPFL ENAC IIC LSMS,1015,Lausanne,Cloud and web based platform for dissemination of computational solid mechanics,DCSM,"Academic knowledge is traditionally disseminated by academic journals. However, nowadays the production of scientific data in any given project exceeds by a vast amount what can be contained in a few journal pages. Reproducible scientific data and publications must be associated to boost scientific collaborations and discoveries. Open-science aims at publicly distributing the production of scientists. To be successful platforms simplifying workflows are required. Our project shall provide such a platform for the vast computational solid mechanics (CSM) community. It will allow to describe input, code and output of a simulation, therefore enabling storage on a repository. Facilities will be included for mainstream software and high-performance computing calculations. Results access and analysis will be web-based. When ready to be published, simply clicking a submission button to an open-access repository will be the only requirement. There are already existing open-source software for some of the bricks composing our proposal, but not for CSM needs. We propose to implement a distributed platform, based on well-established initiatives such as Meshio and Renku projects, yet focusing on such needs.",2022-10-01,18,131777
EXPLORE/EXAIRIM,Explore,Empa,Senior Scientist,Stephan,Henne,Air Pollution / Environmental Technology,8600,Dübendorf,Explore AiiDA for Regional Inverse Modelling of Greenhouse Gases (ExAiRIM),ExAiRIM,"Inverse modelling of greenhouse gas emissions is a powerful tool combining atmospheric observations and transport simulations to provide policy-relevant, real-world emission estimates. Inverse modelling requires computational workflows that deal with multiple atmospheric model simulations, pre- and post-processing steps, inversion codes and collection/aggregation of results across an ensemble of individual realisations. These steps are not handled in a traceable, repeatable and user-friendly way. Here, we propose to use the 'Automated Interactive Infrastructure and Database for Computational Science' AiiDA system to develop prototype workflows and implement plugins for automation of the above steps. AiiDA is a well-established tool in the field of computational material science within the ETH-domain. We will build on its flexible structure to transfer its powers to the atmospheric modelling community, specifically that of inverse modelling. We will interact with our Swiss and European partners to design generic workflows that can be easily adopted by other researchers working on inverse modelling. Our implementation will improve the traceability, repeatability, findability, and sharing of emission estimates that are crucial in the assessment of climate change policy and legislation. We expect to carry the achievements beyond the use in our own group to other researchers with whom we cooperate closely in the context of international and European programmes and projects.",2022-12-01,12,147000
EXPLORE/FAIRGEO,Explore,ETH Zürich,Prof. Dr.,Lorenz,Hurni,Institute of Cartography and Geoinformation,8093,Zürich,Advancing open geodata practices in research communities,FAIRGeo,"The project aims to improve openness and interaction between research communities working with geospatial data. There is currently a significant gap in the absence of an application that enables research communities and Open Science stakeholders to publish, visualise, combine and extract research geospatial data in the formats desired by users, and to use them directly and openly in teaching and research. The project will focus on addressing key questions and working with research communities to better understand the needs and requirements of researchers for working with geospatial data in an open research data context. Key questions include the desired practices, data formats and standards for searching, combining, sharing and publishing open research geodata, and assessing the capabilities of existing geoportals such as GeoVITe to implement the developed ORD practices.
Collaboration with the community, in particular with representatives of the geosciences, is essential to discuss and develop user-centred ORD practices. Participatory approaches aim to focus on user needs to make research geodata findable, accessible, interoperable and reusable in line with the FAIR principles. Based on the identified needs and processes, initial testing and technical implementation will be carried out on the portal. The long-term goal is to establish sustainable tools for the open research geodata community, based on existing open standards and an improved web-based geoportal.",2024-07-01,18,150000
EXPLORE/FAIRQUAL,Explore,ETH Zürich,Group Leader,Mollie,Chapman,Transdisciplinarity Lab (TdLab),8092,Zurich,FAIRqual - FAIR Data Practices for Qualitative Research in Transdisciplinarity,FAIRQual,"While ORD practices become increasingly widespread, one area that remains a challenge is qualitative data. On the one hand, qualitative data is more difficult to process and make available in open practices. On the other, ethical norms in research practice require confidentiality of research subjects. Yet interview transcripts, workshops or other kinds of qualitative data are difficult or sometimes impossible to anonymize. This challenge comes to the fore when conducting transdisciplinary (Td) research, where new forms of engagement between science and society co-produce problem framings and project outputs. In this context, questions of who processes and stores data are increasingly important. Td research makes frequent use of qualitative methods, especially interviews and workshops. Sharing of this data could allow for improved learning between Td processes and increase engagement between science and society. How might this data be shared according to FAIR principles? What are appropriate protocols for determining what data to share and how to navigate the ethical issues of research participant protection and the benefits of sharing qualitative data? In this project we will prototype tools for FAIR qualitative data within Td research projects, develop standards and guidelines for other Td researchers and build a dialogue and community of practice within the Td research community around FAIR practices for qualitative data.",2024-09-01,18,150000
EXPLORE/FOREST3DTWIN,Explore,WSL,Senior Scientist / Teamleader,Christian,Ginzler,Remote Sensing,8903,Birmensdorf,Open Laser Scanning Database for characterization of Forest Biophysical properties and beyond (Forest3DTwin),Forest3DTwin,"Highly detailed 3D characterization of trees and forests with close-range technologies offers great potential for modeling carbon, energy fluxes, habitat diversity and much more. Numerous research groups are collecting complex 3D data in forests, and some are making it available as open data to the community. However, there are currently very few open data repositories or even metadata for 3D forest data from laser scans that can be used by different groups on a European or global scale. In the Forest3DTwin project, we want to build a prototype for open storage of measured 3D data with reference data according to the FAIR principles (findability, accessibility, interoperability and reusability) and are convinced that this can be established at the Swiss Federal Institute for Forest Research WSL in the long term and lead to a engagement and commitment of the European and global community to open 3D forest data.",2024-09-01,18,150000
